Gene ID,Location,Genome,Strand,Start,End,Length (bp),NR Description,COG ID,COG Type,Gene Name,KO ID,KO Description,Family,Class,ARO Name,ARO Description,Drug_class,Resistance_mechanism
gene0001,Scaffold1,G_bin70,+,43,288,246,-,-,-,-,-,-,-,-,-,-,-,-
gene0002,Scaffold1,G_bin70,-,665,285,381,DUF2255 family protein,-,-,-,-,-,-,-,-,-,-,-
gene0003,Scaffold1,G_bin70,+,1113,3812,2700,hypothetical protein,COG4771,P,TC.FEV.OM,K02014,iron complex outermembrane recepter protein,-,-,-,-,-,-
gene0004,Scaffold1,G_bin70,-,5234,4233,1002,hypothetical protein,ENOG410ZWUW,S,-,-,-,-,-,-,-,-,-
gene0005,Scaffold1,G_bin70,-,6357,5242,1116,hypothetical protein,ENOG4111TX9,S,-,-,-,-,-,-,-,-,-
gene0006,Scaffold1,G_bin70,-,7550,6369,1182,hypothetical protein,COG5379,I,btaA,K13622,S-adenosylmethionine-diacylglycerol 3-amino-3-carboxypropyl transferase,-,-,-,-,-,-
gene0007,Scaffold1,G_bin70,-,8068,7547,522,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
gene0008,Scaffold1,G_bin70,-,8849,8103,747,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
gene0009,Scaffold1,G_bin70,-,9754,8846,909,hypothetical protein,COG0172,J,-,-,-,-,-,-,-,-,-
gene0010,Scaffold1,G_bin70,-,9974,9741,234,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
gene0011,Scaffold1,G_bin70,-,11038,10001,1038,hypothetical protein,COG3320,Q,-,-,-,-,-,-,-,-,-
gene0012,Scaffold1,G_bin70,-,12056,11097,960,hypothetical protein,ENOG4111ZHH,I,fabH,K00648,3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180],-,-,-,-,-,-
gene0013,Scaffold1,G_bin70,-,12264,12130,135,-,-,-,-,-,-,-,-,-,-,-,-
gene0014,Scaffold1,G_bin70,+,12252,12857,606,GNAT family N-acetyltransferase,COG1670,J,-,-,-,-,-,-,-,-,-
gene0015,Scaffold1,G_bin70,-,13862,12948,915,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
gene0016,Scaffold1,G_bin70,+,14106,14468,363,MetaGeneMark_Unknown Function,-,-,-,-,-,-,-,-,-,-,-
gene0017,Scaffold1,G_bin70,+,14725,14889,165,-,-,-,-,-,-,-,-,-,-,-,-
gene0018,Scaffold1,G_bin70,-,15315,14959,357,fumarate hydratase,COG1951,C,"E4.2.1.2A, fumA, fumB",K01676,"fumarate hydratase, class I [EC:4.2.1.2]",,-,-,-,-,-
gene0019,Scaffold1,G_bin70,-,15488,15312,177,-,-,-,-,-,-,-,-,-,-,-,-
gene0020,Scaffold1,G_bin70,-,15598,15470,129,-,-,-,-,-,-,-,-,-,-,-,-
gene0021,Scaffold1,G_bin70,+,15638,15862,225,hypothetical protein,ENOG4110B5Z,M,-,-,-,-,-,-,-,-,-
gene0022,Scaffold1,G_bin70,+,15874,17037,1164,hypothetical protein,COG0845,M,"acrA, mexA, adeI, smeD, mtrC, cmeA",K03585,"membrane fusion protein, multidrug efflux system",-,-,smeD,smeD is the membrane fusion protein of the smeDEF multidrug efflux complex in Stenotrophomonas maltophilia,fluoroquinolone antibiotic;macrolide antibiotic;phenicol antibiotic;tetracycline antibiotic,antibiotic efflux
gene0023,Scaffold1,G_bin70,-,17799,17515,285,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
gene0024,Scaffold1,G_bin70,-,18442,17870,573,peptidase M20,COG0624,E,-,-,-,-,-,-,-,-,-
gene0025,Scaffold1,G_bin70,+,18478,20130,1653,SDR family NAD(P)-dependent oxidoreductase,COG3321,Q,-,-,-,-,-,-,-,-,-
gene0026,Scaffold1,G_bin70,+,21455,21607,153,-,-,-,-,-,-,-,-,-,-,-,-
gene0027,Scaffold1,G_bin70,-,22055,21591,465,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
gene0028,Scaffold1,G_bin70,+,22123,22254,132,-,-,-,-,-,-,-,-,-,-,-,-
gene0029,Scaffold2,G_bin70,+,63,1178,1116,extracellular solute-binding protein,COG1653,G,ABC.MS.S,K02027,multiple sugar transport system substrate-binding protein,-,-,-,-,-,-
gene0030,Scaffold2,G_bin70,+,1198,2031,834,sugar ABC transporter permease,COG1175,P,ABC.MS.P,K02025,multiple sugar transport system permease protein,-,-,-,-,-,-
gene0031,Scaffold2,G_bin70,+,2028,2843,816,sugar ABC transporter permease,COG0395,G,ABC.MS.P1,K02026,multiple sugar transport system permease protein,-,-,-,-,-,-
gene0032,Scaffold2,G_bin70,+,3121,4203,1083,sn-glycerol-3-phosphate ABC transporter ATP-binding protein UgpC,COG3839,G,"msmX, msmK, malK, sugC, ggtA, msiK",K10112,multiple sugar transport system ATP-binding protein,-,-,-,-,-,-
gene0033,Scaffold2,G_bin70,+,4200,4934,735,alpha-amylase,COG0366,G,"AMY, amyA, malS",K01176,alpha-amylase [EC:3.2.1.1],GH,GH13_36,-,-,-,-
gene0034,Scaffold2,G_bin70,+,5026,5265,240,DUF4040 domain-containing protein,COG1009,C,"mnhA, mrpA",K05565,multicomponent Na+:H+ antiporter subunit A,-,-,-,-,-,-
gene0035,Scaffold2,G_bin70,+,5262,5645,384,NADH-quinone oxidoreductase subunit K,COG1006,P,"mnhC, mrpC",K05567,multicomponent Na+:H+ antiporter subunit C,-,-,-,-,-,-
gene0036,Scaffold2,G_bin70,+,5668,7137,1470,NADH/ubiquinone/plastoquinone,COG0651,C;P,"mnhD, mrpD",K05568,multicomponent Na+:H+ antiporter subunit D,-,-,-,-,-,-
gene0037,Scaffold2,G_bin70,+,7200,7481,282,Na+/H+ antiporter subunit E,COG1863,P,"mnhE, mrpE",K05569,multicomponent Na+:H+ antiporter subunit E,-,-,-,-,-,-
gene0038,Scaffold2,G_bin70,+,7478,7759,282,cation transporter,COG2212,P,"mnhF, mrpF",K05570,multicomponent Na+:H+ antiporter subunit F,-,-,-,-,-,-
gene0039,Scaffold2,G_bin70,+,7756,8133,378,monovalent cation/H(+) antiporter subunit G,COG1320,P,"mnhG, mrpG",K05571,multicomponent Na+:H+ antiporter subunit G,-,-,-,-,-,-
gene0040,Scaffold2,G_bin70,+,8317,8550,234,-,-,-,-,-,-,-,-,-,-,-,-
gene0041,Scaffold2,G_bin70,-,9110,8712,399,hypothetical protein,ENOG41122YF,S,-,-,-,-,-,-,-,-,-
gene0042,Scaffold2,G_bin70,+,9307,9831,525,ester cyclase,COG5485,S,-,-,-,-,-,-,-,-,-
gene0043,Scaffold2,G_bin70,+,9854,10606,753,glucose 1-dehydrogenase,COG1028,S,-,-,-,-,-,-,-,-,-
gene0044,Scaffold2,G_bin70,-,11404,10736,669,helix-turn-helix domain-containing protein,COG2345,K,-,-,-,-,-,-,-,-,-
gene0045,Scaffold2,G_bin70,+,11568,12146,579,DUF4142 domain-containing protein,COG3652,S,K08995,K08995,putative membrane protein,-,-,-,-,-,-
gene0046,Scaffold2,G_bin70,+,12179,13339,1161,cytochrome c class I,ENOG410YHTP,S,-,-,-,-,-,-,-,-,-
gene0047,Scaffold2,G_bin70,+,13474,14946,1473,pyridine nucleotide-disulfide oxidoreductase,COG0446,S,-,-,-,-,-,-,-,-,-
gene0048,Scaffold2,G_bin70,+,14943,15590,648,GTP cyclohydrolase I FolE,COG0302,H,"GCH1, folE",K01495,GTP cyclohydrolase IA [EC:3.5.4.16],-,-,-,-,-,-
gene0049,Scaffold2,G_bin70,+,15598,16590,993,DUF2090 domain-containing protein,COG3892,G,-,-,-,-,-,-,-,-,-
gene0050,Scaffold2,G_bin70,-,17815,16712,1104,hypothetical protein,ENOG410ZE8S,S,-,-,-,-,-,-,-,-,-
gene0051,Scaffold2,G_bin70,-,18981,17944,1038,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
gene0052,Scaffold2,G_bin70,-,19103,18978,126,-,-,-,-,-,-,-,-,-,-,-,-
gene0053,Scaffold2,G_bin70,-,21390,19096,2295,transglycosylase SLT domain-containing protein,COG0741,M,-,-,-,-,-,-,-,-,-
gene0054,Scaffold2,G_bin70,-,21713,21555,159,PAS sensor protein,ENOG410XNMH,T,-,-,-,-,-,evgS,EvgS is a sensor protein that phosphorylates the regulatory protein EvgA. evgS corresponds to 1 locus in Pseudomonas aeruginosa PAO1 and 1 locus in Pseudomonas aeruginosa LESB58.,fluoroquinolone antibiotic;macrolide antibiotic;penam;tetracycline antibiotic,antibiotic efflux
gene0055,Scaffold3,G_bin70,+,279,911,633,OsmC family protein,ENOG4111V4X,O,-,-,-,-,-,-,-,-,-
gene0056,Scaffold3,G_bin70,+,908,1381,474,DUF393 domain-containing protein,COG3011,S,-,-,-,-,-,-,-,-,-
gene0057,Scaffold3,G_bin70,-,2667,1363,1305,complex I NDUFA9 subunit family protein,COG0702,G;M,-,-,-,-,-,-,-,-,-
gene0058,Scaffold3,G_bin70,-,3136,2708,429,molybdopterin oxidoreductase,COG0243,C,-,-,-,-,-,-,-,-,-
gene0059,Scaffold3,G_bin70,-,4811,3333,1479,hypothetical protein,COG0769,M,murE,K01928,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase [EC:6.3.2.13]",-,-,-,-,-,-
gene0060,Scaffold3,G_bin70,+,5010,5165,156,-,-,-,-,-,-,-,-,-,-,-,-
gene0061,Scaffold3,G_bin70,-,5819,5229,591,hypothetical protein,COG4293,S,-,-,-,-,-,-,-,-,-
gene0062,Scaffold3,G_bin70,-,6820,5816,1005,hypothetical protein,ENOG410XQSG,S,-,-,-,-,-,-,-,-,-
gene0063,Scaffold3,G_bin70,-,7890,6817,1074,folate-binding protein,COG0354,S,ygfZ,K06980,tRNA-modifying protein YgfZ,-,-,-,-,-,-
gene0064,Scaffold3,G_bin70,-,8000,7887,114,-,-,-,-,-,-,-,-,-,-,-,-
gene0065,Scaffold3,G_bin70,-,9224,8118,1107,hypothetical protein,COG0247,C,glcF,K11473,glycolate oxidase iron-sulfur subunit,-,-,-,-,-,-
gene0066,Scaffold3,G_bin70,+,9590,10750,1161,hypothetical protein,ENOG410XPDR,P,TC.FEV.OM,K02014,iron complex outermembrane recepter protein,-,-,-,-,-,-
gene0067,Scaffold3,G_bin70,+,10752,11198,447,NUDIX domain-containing protein,-,-,"mutT, NUDT15, MTH2",K03574,8-oxo-dGTP diphosphatase [EC:3.6.1.55],-,-,-,-,-,-
gene0068,Scaffold3,G_bin70,-,11859,11218,642,SRPBCC family protein,ENOG410Y76B,S,-,-,-,-,-,-,-,-,-
