Gene ID,Location,Genome,Strand,Start,End,Length (bp),NR Description,COG ID,COG Type,Gene Name,KO ID,KO Description,Family,Class,ARO Name,ARO Description,Drug_class,Resistance_mechanism
gene0001,Scaffold1,G_bin310,-,1320,940,381,DUF4345 domain-containing protein,ENOG410YP2G,S,-,-,-,-,-,-,-,-,-
gene0002,Scaffold1,G_bin310,+,1423,2010,588,TetR/AcrR family transcriptional regulator,ENOG4111TWN,K,-,-,-,-,-,-,-,-,-
gene0003,Scaffold1,G_bin310,+,2217,3059,843,pirin family protein,COG1741,S,PIR,K06911,"quercetin 2,3-dioxygenase [EC:1.13.11.24]",-,-,-,-,-,-
gene0004,Scaffold1,G_bin310,-,4024,3071,954,helix-turn-helix domain-containing protein,COG4977,K,-,-,-,-,-,-,-,-,-
gene0005,Scaffold1,G_bin310,+,4054,4857,804,phosphohydrolase,ENOG4111QZT,S,-,-,-,-,-,-,-,-,-
gene0006,Scaffold1,G_bin310,-,6123,4861,1263,competence/damage-inducible protein A,COG1058,H,pncC,K03742,nicotinamide-nucleotide amidase [EC:3.5.1.42],-,-,-,-,-,-
gene0007,Scaffold1,G_bin310,+,6158,6565,408,hypothetical protein,ENOG4111UTZ,S,-,-,-,-,-,-,-,-,-
gene0008,Scaffold1,G_bin310,-,7578,6562,1017,GNAT family N-acetyltransferase,-,-,-,-,-,-,-,-,-,-,-
gene0009,Scaffold1,G_bin310,-,8849,7722,1128,hypothetical protein,-,-,-,-,-,-,-,-,-,-,-
gene0010,Scaffold1,G_bin310,-,9364,8921,444,universal stress protein,-,-,-,-,-,-,-,-,-,-,-
gene0011,Scaffold1,G_bin310,-,9743,9375,369,fluoride efflux transporter CrcB,ENOG410ZX4S,S,"crcB, FEX",K06199,fluoride exporter,-,-,-,-,-,-
gene0012,Scaffold1,G_bin310,-,10081,9743,339,CrcB,ENOG41128KT,S,"crcB, FEX",K06199,fluoride exporter,-,-,-,-,-,-
gene0013,Scaffold1,G_bin310,-,14089,10316,3774,molybdopterin oxidoreductase,COG0243,C,-,-,-,-,-,-,-,-,-
gene0014,Scaffold1,G_bin310,+,14374,14649,276,GlsB/YeaQ/YmgE family stress response membrane protein,ENOG410XUYR,S,-,-,-,-,-,-,-,-,-
gene0015,Scaffold1,G_bin310,-,15745,14774,972,modD,-,-,-,-,-,-,-,-,-,-,-
gene0016,Scaffold1,G_bin310,-,17034,15967,1068,ABC transporter ATP-binding protein,COG1118,P,modC,K02017,molybdate transport system ATP-binding protein [EC:7.3.2.5],-,-,macB,MacB is an ATP-binding cassette (ABC) transporter that exports macrolides with 14- or 15- membered lactones. It forms an antibiotic efflux complex with MacA and TolC. macB corresponds to 1 locus in Pseudomonas aeruginosa PAO1 and 1 locus in Pseudomonas aeruginosa LESB58.,macrolide antibiotic,antibiotic efflux
gene0017,Scaffold1,G_bin310,-,17798,17034,765,molybdate ABC transporter permease subunit,COG4149,P,modB,K02018,molybdate transport system permease protein,-,-,-,-,-,-
gene0018,Scaffold1,G_bin310,-,18481,17825,657,molybdate ABC transporter substrate-binding protein,COG0725,P,modA,K02020,molybdate transport system substrate-binding protein,-,-,-,-,-,-
gene0019,Scaffold1,G_bin310,+,18812,19522,711,putative oxidoreductase,ENOG4111IIF,S,-,-,-,-,-,-,-,-,-
gene0020,Scaffold1,G_bin310,+,19618,20601,984,LLM class F420-dependent oxidoreductase,ENOG410YSG1,C,-,-,-,-,-,-,-,-,-
gene0021,Scaffold1,G_bin310,+,20651,21247,597,TIGR03086 family protein,-,-,-,-,-,-,-,-,-,-,-
gene0022,Scaffold1,G_bin310,+,21371,22855,1485,NAD(P)/FAD-dependent oxidoreductase,COG1252,C,ndh,K03885,NADH dehydrogenase [EC:1.6.99.3],-,-,-,-,-,-
gene0023,Scaffold1,G_bin310,-,23546,22866,681,putative urease accessory protein ureD,ENOG4111ZF5,S,"ureD, ureH",K03190,urease accessory protein,-,-,-,-,-,-
gene0024,Scaffold1,G_bin310,-,24183,23503,681,urease accessory protein UreG,COG0378,K;O,ureG,K03189,urease accessory protein,-,-,-,-,-,-
gene0025,Scaffold1,G_bin310,-,24870,24217,654,urease accessory protein UreF,COG0830,O,ureF,K03188,urease accessory protein,-,-,-,-,-,-
gene0026,Scaffold1,G_bin310,-,26603,24870,1734,urease subunit alpha,COG0804,E,ureC,K01428,urease subunit alpha [EC:3.5.1.5],-,-,-,-,-,-
gene0027,Scaffold1,G_bin310,-,26923,26600,324,urease subunit beta,COG0832,E,ureB,K01429,urease subunit beta [EC:3.5.1.5],-,-,-,-,-,-
gene0028,Scaffold1,G_bin310,-,27249,26929,321,urease subunit gamma,COG0831,E,ureA,K01430,urease subunit gamma [EC:3.5.1.5],-,-,-,-,-,-
